datetime,username,content,hastags
2022-10-08 15:04:09,DsSupriyady,"@Sikebongce @tsamaradki Relatif Tenang, Emosinya Terjaga, Tidak Pernah Marah, Apalagi Sampe Melaporkan Rakyat, Dan Ulama, Tidak Pernah, Gubernur YG Sopan Dan Santun, Beda DG Jokowi!
Gubernur dki anies baswedan Jelas Pendidikananya, Silsilah Keluarganya Ini Juga Kebalikan Dr Jokowi, YG Serba Gak Jelas.",
2022-10-08 14:58:55,DsSupriyady,"Sikebongce @tsamaradki Setelah Pilkada Usui Dan Gubernur Dki Anies Baswedan Menjabat, Tidak Ada Politik Identitas, Bahkan AKu Belum Pernah Sekalipun Melihat Beliau Keran Marahau Marahaua Marahaua Marahaua Marahaua Marahaua MarahaUu Kotor, gubernur anies ini ...",
2022-10-07 22:28:41,Syinyo,"@Oposisicerdas dia lagi meni menan proyek menjatuhkan anies baswedan, ya sudah jadi tanggung jawabnya, bikin kisruh, bikin marah, membangkia-balikan pikirkan waras menjadi gila, menin-diranya pikirkan menjadi gila, menin lalikan, menirah, Menjadi Gila, Mendungan, Menjadi Halikan, Menjadi Gila, Mendungan.",
2022-10-05 01:15:09,OposisiCerdas,"Debat Denny Siregar Dan Niluh Djelantik Usui Surya Paloh Dukung Anies Baswedan Capres 2024, Marah?
https://t.co/skwmqyd0ac",
2022-10-04 12:12:28,FrediHadikusuma,"@Chusnulch__ @anjarpranowo makin seru nih liat para cebong Beriak kolamnya..macam cenul.Panik, Seedih, WAS2, MARAH, DAN MEREKA TRS2AN MENGELU2KAN GANJAR YG BELUM JELAS DIUSUNG SIAPA .. 🤪
Ehh malah anies baswedan yg udah duluan dipinang nasdem..sakitnya tuh nyelekitttt pake bingitttt ... hahahaha",
2022-10-04 09:35:00,democrazymedia,"Debat Denny Siregar Dan Niluh Djelantik Usui Surya Paloh Dukung Anies Baswedan Capres 2024, Marah?
https://t.co/nj4063lbzt",
2022-09-24 16:38:23,Karinbahary2,"Gua Betawi
Mereka Betawi
Dan Kita Anies Baswedan
Jangan Senggol Betawi Ya Ntar Bang Pitung Marah 😁🤭 https://t.co/x0f8jqtoqe",
2022-09-22 00:44:41,andifathdar,"Tabloid politik anies baswedan masjid masjid bukan pelanggaran Pemilu 2024, karena belum ada penetapan kpu tentang paslon capres cawapres.ITU NAMANYA PRA-KAMPANYE, Dan Bukan Pelanggaran.
Boleh Iri Tabi Jangan Marah Karena Ntar Kamu Stroke, Bahaya Itu.",
2022-09-16 22:06:34,didickputra73,"@Geloraco InsyaAllah anies baswedan Calon Terkuat Presiden Dan Semoga Presiden Presiden Ri, Karena Suda Terbukti Bisa Memilih Jakarta Yangin Semakin Bagus Dan Maju.Beda Gargar Ganjar Pranowo Selama Memimpin Jateng Tidak Ada Prestasinya.Yang Ada Hanya Pencitraan.Jangan Marah Ya Bong 😀",
2022-09-07 13:27:11,TbnHotlas,"@bambangmulyono2 Rakyat yang mana yang kalian bilang marah, apa keberhasilan dari pak Anies Baswedan selama memimpin DKI Jakarta selain memindahkan nama jalan dan formula E yang tidak menguntungkan rakyat DKI Jakarta. Soal Ahok sudah clear itu bro karena KPK tidak ada menemukan bukti korupsi.",
