datetime,username,content,hastags
2022-10-08 15:04:09,DsSupriyady,"@SiKebongce @TsamaraDKI Relatif tenang, emosinya terjaga,tidak pernah marah,apalagi sampe melaporkan rakyat,dan ulama ,tidak pernah, gubernur yg sopan dan santun ,beda dg jokowi !
Gubernur DKI Anies Baswedan jelas Pendidikannya , silsilah keluarganya ini juga kebalikan dr jokowi, yg serba gak jelas.",
2022-10-08 14:58:55,DsSupriyady,"Sikebongce @tsamaradki Setelah Pilkada Usui Dan Gubernur Dki Anies Baswedan Menjabat, Tidak Ada Politik Identitas, Bahkan AKu Belum Pernah Sekalipun Melihat Beliau Keran Marahau Marahaua Marahaua Marahaua Marahaua Marahaua MarahaUu Kotor, gubernur anies ini ...",
2022-10-07 22:28:41,Syinyo,"@Oposisicerdas dia lagi meni menan proyek menjatuhkan anies baswedan, ya sudah jadi tanggung jawabnya, bikin kisruh, bikin marah, membangkia-balikan pikirkan waras menjadi gila, menin-diranya pikirkan menjadi gila, menin lalikan, menirah, Menjadi Gila, Mendungan, Menjadi Halikan, Menjadi Gila, Mendungan.",
2022-10-05 01:15:09,OposisiCerdas,"Debat Denny Siregar dan Niluh Djelantik usai Surya Paloh Dukung Anies Baswedan Capres 2024, Marah?
https://t.co/SKwMqYD0AC",
2022-10-04 12:12:28,FrediHadikusuma,"@Chusnulch__ @anjarpranowo makin seru nih liat para cebong Beriak kolamnya..macam cenul.Panik, Seedih, WAS2, MARAH, DAN MEREKA TRS2AN MENGELU2KAN GANJAR YG BELUM JELAS DIUSUNG SIAPA .. 🤪
Ehh malah anies baswedan yg udah duluan dipinang nasdem..sakitnya tuh nyelekitttt pake bingitttt ... hahahaha",
2022-10-04 09:35:00,democrazymedia,"Debat Denny Siregar Dan Niluh Djelantik Usui Surya Paloh Dukung Anies Baswedan Capres 2024, Marah?
https://t.co/nj4063lbzt",
2022-09-24 16:38:23,Karinbahary2,"Gua Betawi 
Mereka Betawi 
Dan kita Anies Baswedan
Jangan senggol Betawi ya ntar bang Pitung marah 😁🤭 https://t.co/x0f8JqTOQe",
2022-09-22 00:44:41,andifathdar,"Tabloid politik anies baswedan masjid masjid bukan pelanggaran Pemilu 2024, karena belum ada penetapan kpu tentang paslon capres cawapres.ITU NAMANYA PRA-KAMPANYE, Dan Bukan Pelanggaran.
Boleh Iri Tabi Jangan Marah Karena Ntar Kamu Stroke, Bahaya Itu.",
2022-09-16 22:06:34,didickputra73,"@Geloraco InsyaAllah anies baswedan Calon Terkuat Presiden Dan Semoga Presiden Presiden Ri, Karena Suda Terbukti Bisa Memilih Jakarta Yangin Semakin Bagus Dan Maju.Beda Gargar Ganjar Pranowo Selama Memimpin Jateng Tidak Ada Prestasinya.Yang Ada Hanya Pencitraan.Jangan Marah Ya Bong 😀",
2022-09-07 13:27:11,TbnHotlas,"@bambangmulyono2 rakyat Yang Mana Yang Kalian Bilan Marah, apa jakarta selain memindahkan nama jalan dan formula e yang tidak meruntingan rakyat dki jakarta.Soal Ahok Sudah membersihkannya bro karena kpk tidak ada menemukan bukti korupsi.",
2022-07-09 22:30:43,TauhidYusron,"Teman sma kagum, anies baswedan tak pernah marah Dan bicara kotor https://t.co/jmhz1i9thi",
2022-07-05 13:39:47,Relawananies,"Teman SMA Kagum, Anies Baswedan Tak Pernah Marah dan Bicara Kotor

https://t.co/Eq3Q62y8vI",
2022-07-05 00:28:32,kba_news,"Teman Sma Kagum, anies Baswedan Tak Pernah Marah Dan Bicara Kotor https://t.co/t3e8nojowg",
2022-07-02 10:37:24,KopiIte68213328,"Anies itu bekerja dengan Konsep yg matang.
Bukan suka nonton Bokep yg bikin otak tegang.
Anies itu penyabar perlu kita  dicontoh Dan tak suka marah marah .
Bukan suka menebar Foto diATM dan Bandara.
ANIES Baswedan is The Best
Salam akla sehat. https://t.co/khlVkvXmo8",
2022-07-01 00:46:01,wellymerukh,"Antara Marah Dan Ketawa
Marah Karna Politer Sara Meningkat Dilakukan Kaum2 Penjilat anies Baswedan Bapak Politik Identitas
Ketawa Karna Level Gubernur Kerjanya Cuma Bisa Bikin Gerbang Jalan https://t.co/yqas6z2uwp",
2022-06-14 08:45:40,AhmadNa80678561,"Dulu Ahok Mau Jadi Presiden Semua Orang Kok Diam Dan Tenjak Ada Alasan Apa-Apa ... Sekarang Bila Anies Baswedan Mau Nyalon Presiden Bermacam Tentemat Dan Fitnah Maranga Bikin Katananya """" Presiden Haruus Orang Jawa Jawa Kalau..",
2022-06-07 00:11:15,Gandawan,"Anies Baswedan Tampil Keren Delan Baju, Celana Dan Sepatu Biru.
Anies Baswedan Seksses Menghantar Indonesia Dan Jakarta Menjadi Panggung Balapan Formula-E.
Sementara Para Buzzerp, Nyinyier Dan Dalangnya, Tampil Gangan Hati Merah Marah Kedungu-Dunguan Atas Prestasi-Prestasi Anies.https://t.co/ilkp5gnczb",
