content,username,tanggal Waktu,hashtag
2023-05-09 00:58:20+00:00,ArifWah03065569,"@tifsembiring Pada Rame Gerbong Kosong di bawa ke Istana...
Bonekanya menengok riang dan Gembira...
2024 kemenangan buat Rakyat Indonesia...
Karena memilih pemimpin Anies Baswedan yg Terpercaya.....",
2023-04-30 11:59:47+00:00,ArdhaniFariz,"KABAR GEMBIRA om @Dennysiregar7
dan yayangku @ch_chotimah2
Alhamdulillah ARUS BAWAH PPP
AKAR RUMPUT PPP dan GERAKAN
PEMUDA KA'BAH 80 ℅ DUKUNG
ANIES BASWEDAN CAPRES 2024
ANIES BASWEDAN HEBAT,MANTAP
KEREN Yayangku sygku
💚💚💚💚👍👍👍👍💚💚💚💚 https://t.co/EAEsx1zGmV",
2023-04-22 22:44:29+00:00,akalpedia,"@langitan99 Kenapa wajahnya begitu tegang dan kusut, padahal harusnya ceria dan senang gembira karena didukung kekuatan oligarki. 

Tak usah terlalu cemas dan khawatir pada Anies Baswedan yg hanya lawan kecil yg didukung rakyat kecil, nelayan, buruh, petani, dan rakyat sipil lainnya.",
2023-04-09 10:53:01+00:00,2019Sunart60952,"@andre_rosiade Insha Allah,sy ikut gembira hasil surveinya meski Prabowo bagi sy dan klg besar adalah masa lalu dan masa depan kami saat ini adalah masa perubahan untuk itu kami dibarisan pak Anies Baswedan..",
2023-04-09 04:43:30+00:00,DPP_SKI,"Sekretariat Kolaborasi Indonesia (Ski) Menyambut Gembira Dan Bersyukur Atas Penandatang Mou Yang Dilakukan Oleh 3 Partai Koalisi Pengusung Anies Baswedan Oheh Presiden PKS PKS

#perubahanunukpersATUAN #NASDEM #pks #demokrat #ski #kolaborassiindonesia https://t.co/n2dh9zfdqg","['perubahanuntukpersatuan', 'nasdem', 'pks', 'demokrat', 'ski', 'kolaborassiindonesia']"
2023-04-01 18:26:54+00:00,Simanjunta9Nico,"PKS Pontianak Bagi-bagi Takjil Sambil Sosialisasi Anies Baswedan.

Warga menyambut gembira kegiatan itu. Dan merasa dapat informasi lebih dalam tentang sosok Anies Baswedan sebagai calon Presiden Indonesia.
https://t.co/QJ8OGY86mt
@JarnasABWBpn @AniesAHY @SeputarAHY @JarnasABW",
2023-03-28 04:02:13+00:00,infoanies,"@ANIESBASWEDAN @NASDEM @pdemokrat @pksejahtera @golkar_id Bukti Bahwa Politik Itu Dilaksanakan Dengan Berbahagia Dan Riang Gembira!

Anies Baswedan, Surya Paloh, Airlangga Hartanto, Jusuf Kalla, Ahy, Habib Aboe Bakar Al Habsyi, Dan Para Tokoh Dari Koalisi Perubahan Persaturan Adalah Negarawan Denis Hati Yang Besar.",
2023-03-25 07:35:49+00:00,amanatidn2,"Kelompok Pendukung anies baswedan Yang TergaBung Dalam Amanat Indonesia Meluncurkan Obrolan Kampung AtaU Opung anies Tutkon Menghadirkan Suasana Pemilu Yang Riang Dan Gembira.

#ANIESBASWEDAN #amanatindonesia #indonesia #ANIES #ANIESKEREN https://t.co/yzbxrrstnq","['aniesbaswedan', 'amanatindonesia', 'indonesia', 'anies', 'anieskeren']"
2023-03-25 05:59:02+00:00,MTeroos,"Beberap Hari ini Hidup Gua Riang Gembira Karena 2 Hal.
1. Blunder Ganjar Tentang Timnas Israel
2. Kelakuan Kocak Buzzerrp Yg Gak Bisa Bedain Mana Anis Matta Dan Anies Baswedan
😂😂🤭 https://t.co/bskguiaatz",
2023-03-23 16:57:36+00:00,Simanjunta9Nico,"PESTA DEMOKRASI, KETUA DPP ANIES HADIRI FESTIVAL PEMILU GEMBIRA DI BERBAGAI DAERAH.

“Festival Pemilu Gembira ini Simpul Simpul Relawan Anies Baswedan.Beragam Bentuk Kreativitas Dan Aksi Kesenian Diikuti Berbagai Peserta Dari Berbagai Daerah ""
https://t.co/e3znd4mq4r
@bos_sir",
