content,username,tanggal Waktu,hashtag
2023-05-05 02:49:47+00:00,NMS__ampel,"Tafsir Tergantung Situasi Dan Hati Nurani Yang Mentafsirkan.

1. BISA JADI PAK ANIES BASWEDA BAKAL Tercapai Keinginan.
2. Bisa Jaga Tanda2 Bakal Di Usung KANDA.
3. CUMA KEMBANG TIDUR KARENA Sering Membicarakan Jadi Terbawa Mimpi.

Jangan Marah Ya Kan Cuma Sampaiikan Pendapat.https://t.co/qwyqczczal",
2023-05-04 04:44:34+00:00,KLIIKBAIIT,Masinton Pdip Marah Jokowi Dibilang Jegal Anies Baswedan Dan Sandera Pihak Tertentu https://t.co/tj9rwlwkab,
2023-05-02 07:50:55+00:00,syamem_112,"@lingge_yohanes @detikcom Anies Baswedan tentunya seorang pemimpin yang berkualitas dan berprestasi, termasuk memperoleh pujian dari sekjen PBB

Disamping beliau juga sosok yang penyabar walau sring dihina dn difitnah lawan politiknya

Sedangkan Ahok hobinya cuma marah-marah",
2023-05-02 07:14:10+00:00,Simanjunta9Nico,"Anies Baswedan Membela Kaum Buruh, Dan Kisah Marsinah, Sekali Dia Bergerak, Sudah Itu Patah. 

""Anies menaikkan upah 580 kali dari Ganjar saat itu. Ganjar hanya 0,87 persen, sementara Anies 5,1 persen. Pengusaha marah dan menggugat Anies ke pengadilan.”
https://t.co/XsRTfAhozS",
2023-05-01 03:22:34+00:00,putri_Aalona,"@Krisyantooni Munckin dan Bukan Penjilat Pada Saat Mendukung Pak Jokowi Dan Jaga Anies Baswedan
tp dana sedang marah Dan kecewa lewingga anda berasumsi sendiri, coba tanyakan hati anda sendiri siapa yg layak memimpin bangsa ini tanpa emosi sy yakin jawabanya anda tau org pribumi.
BUKN YAMAN",
2023-04-28 17:14:05+00:00,herman_kan80050,"@Dennysiregar7 anies baswedan ga pernah menhina lawananya, dan luhut marah reklamasi jakut terhambat .... hehe ..... lo ga mikir ya denny",
2023-04-27 13:41:17+00:00,DsSupriyady,"Mereka Marah Bukan Karena Anies Baswedan Gelan Bacaan - Bacaan Yg Berat Dan Berkelas, Sesituguhnya!
Mereka Marah Lantaran Jokowi Tidak Memiliki Kemampuan Membaca Seperti Anies Baswedan!

https://t.co/oejwdirvkw",
2023-04-24 06:01:04+00:00,racin6_,"Lagi Dan Lagi Keriblan Dalam Tubuh Partai Koalisi Disebabkan Oleh Masalah Cawapres.Kali ini, Nasdem Marah Besar Karena PKS Sibuk Cari Perhatian Unkalonkan Mahfud Md Sebagai Pasangan untuk Baswedan.https://t.co/t9arzbf3py",
2023-04-11 02:03:41+00:00,mickolv_idas,@Hunterjagar3 @yahyacstaquf masyarakat dan tokoh nu yg mana yg marah? Lah wong ulama² Besarnya Aja Pd Dukung Anies Baswedan Kok ..... Heduuh Cebong Makin Blingsatan Aja Nih KeKnya..gk Mau Perubahan.https://t.co/rjnd9w3vwc,
2023-04-08 04:34:16+00:00,TeguhAzis1,"Keluarga Anies sangat dan serba Arab Yaman 👉 Hasan Nasbi..

Kebenaran/Kenyataan yang disebutkan,, Ehh Pendukung Anies MARAH !

Gak Heran ada Pendukung BERANI Ancam Komisi Pemberantasan Korupsi BAKAR Gedung KPK, kalo ada Anggota KPK Berani Naikkan Kasus Kasus Anies Baswedan ! https://t.co/w8TvaK9Ffu",
2023-04-08 04:33:49+00:00,Briana89392210,"Keluarga Anies Sangan Dan Serba Arab Yaman 👉 Hasan Nasbi ..

Kebenaran/Kenyataan Yang Disebutkan ,, Ehh Pendukung Anies Marah!

Gak Heran Ada Pendukung Berani Ancam Komisi Pemberantasan Korupsi Bakar Gedung KPK, Kalo Ada Anggota KPK Berani Naikkan Kasus Kasus Anies Baswedan!https://t.co/a8kad3bq3q",
2023-04-07 08:56:12+00:00,Fr4nst,"@PartBurungGalak Gw jg marah atas penolakan Ganjar. Tapi mau gimana lagi? Gw gk mungkin biarkan Anies Baswedan menang gara2 gw marah. Maka gw redam amarah dan tetap dukung Ganjar. Semua gw lakukan bkn untuk Ganjar, tp untuk Indonesia, untuk kehidupan gw sendiri.🙏",
2023-04-06 07:17:15+00:00,artiasdeby3,"""Prabowo Nampaknya Menjadi Alternatif Dari Para Pendukung Ganjar Yang Marah Dan Kecewa, Di Mana Mereka Hampir Tidak Mungkin Berpaling Ke Anies Baswedan,"" Senior Ujar Peneliti Mipos.
#Prabowopemersatu #IKUTPAKDE Prabowo Subianto","['PrabowoPemersatu', 'IkutPakde']"
2023-04-06 06:00:17+00:00,raisshaanjani,"“Prabowo Nampaknya Yang Alternatif Dari Para Pendukung Ganjar Yang Marah Dan Kecewa, Di Mana Mereka Hampir Tidak Mungkin Berpaling Ke Anies Baswedan,” Terang Yuyun.#Prabowopemersatu #IKUTPAKDE Prabowo Subianto","['PrabowoPemersatu', 'IkutPakde']"
2023-04-05 16:00:29+00:00,MashaNdeber,"“Prabowo nampaknya menjadi alternatif dari para pendukung Ganjar yang marah dan kecewa, di mana mereka hampir tidak mungkin berpaling ke Anies Baswedan,” terang peneliti senior MIPOS Yuyun Andriani, Rabu, 4 April 2023.

#RakyatPilihPrabowo
#BangkitBersama 
Prabowo Subianto","['RakyatPilihPrabowo', 'BangkitBersama']"
2023-04-05 13:06:05+00:00,rakyatinfo7,"Prabowo Nampaknya Menjadi Alternatif Dari Para Pendukung Ganjar Yang Marah Dan Kecewa, Di Mana Mereka Hampir Tidak Munckin Berpaling Ke Anies Baswedan, ”Senior Terang Peneliti Mipos Yuyun Andriani, Rabu, 4 April 2023.",
2023-04-05 13:03:22+00:00,politikngaji2,"“Prabowo nampaknya menjadi alternatif dari para pendukung Ganjar yang marah dan kecewa, di mana mereka hampir tidak mungkin berpaling ke Anies Baswedan,” terang peneliti senior MIPOS Yuyun Andriani, Rabu, 4 April 2023.",
2023-04-05 13:00:36+00:00,indeks_politika,"“Prabowo nampaknya menjadi alternatif dari para pendukung Ganjar yang marah dan kecewa, di mana mereka hampir tidak mungkin berpaling ke Anies Baswedan,” terang peneliti senior MIPOS Yuyun Andriani, Rabu, 4 April 2023.",
2023-04-05 12:56:21+00:00,DKliktivisme,"“Prabowo Nampaknya Menjadi Alternatif Dari Para Pendukung Ganjar Yang Marah Dan Kecewa, Di Mana Mereka Hampir Tidak Mungkin Berpaling Ke Anies Baswedan,” Senior Terang Peneliti Mipos Yuyun Andriani, Rabu, 4 April 2023.",
2023-04-05 12:46:06+00:00,autokrat_not,"“Prabowo Nampaknya Menjadi Alternatif Dari Para Pendukung Ganjar Yang Marah Dan Kecewa, Di Mana Mereka Hampir Tidak Mungkin Berpaling Ke Anies Baswedan,” Senior Terang Peneliti Mipos Yuyun Andriani, Rabu, 4 April 2023.",
2023-04-05 08:40:00+00:00,Syahriss0,"“Prabowo Nampaknya Menjadi Alternatif Dari Para Pendukung Ganjar Yang Marah Dan Kecewa, Di Mana Mereka Hampir Tidak Mungkin Berpaling Ke Anies Baswedan,” Senior Terang Peneliti Mipos Yuyun Andriani, Rabu, 4 April 2023.",
2023-04-05 08:36:16+00:00,tangkulara,"“Prabowo Nampaknya Menjadi Alternatif Dari Para Pendukung Ganjar Yang Marah Dan Kecewa, Di Mana Mereka Hampir Tidak Mungkin Berpaling Ke Anies Baswedan,” Senior Terang Peneliti Mipos Yuyun Andriani, Rabu, 4 April 2023.",
2023-04-05 08:32:00+00:00,BwSahar,"“Prabowo Nampaknya Menjadi Alternatif Dari Para Pendukung Ganjar Yang Marah Dan Kecewa, Di Mana Mereka Hampir Tidak Mungkin Berpaling Ke Anies Baswedan,” Senior Terang Peneliti Mipos Yuyun Andriani, Rabu, 4 April 2023.",
2023-03-15 22:06:40+00:00,EnemyofBuzzer,"@kompascom anies baswedan aja Kalau mau Menghina, Dipanggil Wan Abud, Wan Aibon Dan Wan Wan Lainnya Kagak Marah Die Hehe",
2023-03-09 01:50:15+00:00,JokMeta,"Fahri Hamza marah sebut Anies Baswedan pengecut dan banyak omong
#anies #aniesbaswedan #AniesBawaKehancuranRI https://t.co/oeZL670nOh","['anies', 'aniesbaswedan', 'AniesBawaKehancuranRI']"
2023-03-04 10:04:46+00:00,AbabilSemprong,"@Hasbil_Lbs Fans boy anies marah.. 🤔🤔🤔
Anies Baswedan itu makhluk paling benar dan ga boleh di salahkan..",
2023-03-03 05:59:39+00:00,JokMeta,"Kritik keras, Fahri Hamza marah sebut Anies Baswedan pengecut dan banyak omong
#TolakAniesBaswedan
#AHYpolitikusGagal
#anies https://t.co/8B6A6xTKpe","['TolakAniesBaswedan', 'AHYpolitikusGagal', 'anies']"
2023-03-03 02:52:32+00:00,NTTberdiri,Fahri Hamzah Minjkin Suda Muak Gelan Sikap Anies Baswedan Sehingga Dia Marah Dan Menyebut Anies Pengecut !!Jelas anies darence karena tidak berani pertanggungjawaban setiap omonganyaa !!Anies hnya menari popularitas delangan obral janji dimana mana.https://t.co/wozyfbobdf,
2023-02-28 00:28:39+00:00,akalpedia,"@MARQUEZ__93 Tolol! 😂

Tahunya hanya marah marah karena tak mampu menggunakan pikiran. Gak bisa move on dari Anies Baswedan ya.

Seranglah Anies dgn otak dan karya nyata, itu lebih berkelas. Kalo hanya dengan amukan dan kemarahan, itu hanya bikin kamu semakin stress dan sakit sakitan. 😂",
2023-02-25 15:44:33+00:00,themorningtide,@SetFeny @richworld @Official3Ato Lahhh memang anies baswedan dan jajaran nya digugat warga mampang karena tidak melaksanakan kewajibannya mengeruk dan menurap kali Mampang. Kok marah? 😂,
2023-02-25 11:05:54+00:00,MelintasGlobal,@dennyindrayana @msaid_didu takut yang mengang anies baswedan.Rakyat Marah Dan Bersama HRS Model Revolusi Revolusi Revolusi Iran Atau Indonesia Bubar Dan Berdiri Persemakmuran Nusantara Independen State Ala Cis Saat USSR Bubar,
2023-02-06 07:33:02+00:00,sinagano2,"Anies Baswedan Adalah Meteri Pecatan .. Dia Tidak Punya Nama Apa2 Kalo Bukan Gerindra Yg Memperkenalkan Pada Publik UNTUK PILKADA DKI .. Gerindra Pula Yg Memperkenalkan Anies Pada Orang2 Yg Marah Pada Ahok Dan Pemerintah Pusat ..
Anies dipecat dan dimodalin ama sandiaga .. https://t.co/n1lztjqiwk",
2023-01-22 11:17:04+00:00,MARQUEZ__93,"Orma hti pendukung anies baswedan marah tegait pernyataan wasekjend nasdem hermawi taslim yg Mengatakan nasdem kan pasa baja jika anies presiden merevitalissi ke (dua) ormas hti dan fpi.
Justru Tjuuan Hti & amp;FPI Mendukung Anies Kedepan Agar di Hidupkan Kembali.https://t.co/p5unbihnde",
2023-01-19 13:07:02+00:00,RinalDelapanen2,"@SantorinisSun Gibran mengikuti kesantunan dan kebajikan yg ada pd anies Baswedan yg meskipun di hina,hujat di serang dgn fitnah dan hoax dll dia tetap santai dan tdk marah.luar biasa mas gibran dan mas anies👍",
2023-01-18 05:10:07+00:00,herusndkedua,@sobat_anies Dgn mendukung yohanes anies baswedan mau tidak mau harus jd tukang hoax dan marah marah😄,
2023-01-17 00:31:56+00:00,PutunMy,"Cerita Teman Ugm, anies Baswedan Tak Pernah Baper Dan Marah.
#Pulangkantkachina https://t.co/qurxi2iemq",['PulangkanTKAChina']
