content,username,tanggal Waktu,hashtag
2023-05-04 02:48:07+00:00,ndoroAtmo,"@islah_bahrawi setUju gus.Dari Satu Dua Kata Saja Kita Sdh Bisa Nilai Kadar Lawan Diskusi Kita Walau secara online.
Sumpah Sy Sebenarnya Seedih Klo Baca Postingan Para Pemuja Intoleransi Dan Pendukung Anies Baswedan.Krn Nampak Sekali Mrk Memaksakan Diri.Bicara Manis Pdhl Mangga Rasa Masam.",
2023-04-04 13:19:42+00:00,OmHardiman,"SEMALAM AKU MIMOI @aniesbaswedan  MENANG TIPIS  PEMILU PILPRES 2024 ATAS @prabowo  PARA PENDUKUNG ANIES BASWEDAN BERSORAK BAHAGIA, PENDUJUNG PRABOWO SEDIH DAN MURUNG. YA ALLAH",
2023-03-30 12:12:46+00:00,AprillioHadi,"@Musniumar Mantan Rektor Tolol, Benar2 TDK PNY Empaty Pada Para Pemain Indonesia Yg Sedang Sedang dan Berduka Saat Kehilangan Kesempatan Tampil Di Piala Dunia U2O.
Semakin Jijik Melihat Anies Baswedan Dan Gerombolanya Yg Munafik.",
2023-03-19 07:56:59+00:00,NurWahy85152926,@renawindiarti @gibran_tweet Cobak yg Menyelenggarakan anies baswedan pasti yg mulia ibuk ini engak merasa sedih dan Kecewa ...,
2023-03-11 06:19:52+00:00,rudymulyadi,"@jokowi @jokowi @divhumas_polri @mohmahfudmd ini @kpk_ri keManA aja sih ??Kasus Anies Baswedan Mampet, Kasus Rat Ditelusuri Setelah Viral KEMANA-MANA !!!Kalo Gak Bisa Kerja, lapor Ke Pak Jokowi Minta Dibubarkan Saja ITU @KPK_RI Rakyat Seedih Dan Mangangis Melihat Para Pejabat Korupsi !!!",
2023-03-11 06:19:09+00:00,rudymulyadi,"@jokowi @divhumas_polri @mohmahfudmd ini @kpk_ri keManA aja sih ??Kasus Anies Baswedan Mampet, Kasus Rat Ditelusuri Setelah Viral KEMANA-MANA !!!Kalo Gak Bisa Kerja, lapor Ke Pak Jokowi Minta Dibubarkan Saja ITU @KPK_RI Rakyat Seedih Dan Mangangis Melihat Para Pejabat Korupsi !!!",
2023-03-04 13:36:15+00:00,AMP_Stories,"Cerita anies baswedan saat kuliah dan kerja 20 jam di as, Adah sedih yang tak terlihat dalam sebingkai foto - herald sulsel https://t.co/6pibvh7enx #cerita",['Cerita']
2023-02-23 12:51:31+00:00,dhianchakim,"@AlissaWahid @aniesbaswedan @HazHasibuan Maaf mbak @AlissaWahid  trus apakah anda sdh ngecek brp ratus atau ribu tweet buzzer atau kubu sebelah yg menghina pak Anies Baswedan, anda tweet ky gini juga dan ikut sedih juga nggak, adil lah sejak dlm pikiran🙏",
2023-01-23 02:35:45+00:00,hc_poirot,"'terima kasih' adalah ungkapan yg tepat, karena sudah ikut mempromosikan acara dan hajatan

tidak perlu sedih dan menangis karena gagal menghadang masyarakat utk datang menyambut anies baswedan https://t.co/l2v1HYkrXM",
2022-12-08 19:33:19+00:00,eedo_realman,"@aagym sedih ya, dulu begitu dahsyat dan mergebu-geebu memba anies baswedan, sekarang kenapa dia gak menanggap aa SBG penasihat spiritual Nya ??Menyedihkan memang…!",
