content,username,tanggal Waktu,hashtag
2023-05-09 19:01:58+00:00,keuangannews_id,"Jokowi Gencar Promosi Capres dan Koalisi Besar, Anies Baswedan: Ada yang Takut Kehilangan Kekuasaan https://t.co/r2at97QcpD",
2023-05-09 11:51:00+00:00,raisaaazizah,"Tapi dibalik drama dan ocehan yang dilakukan Surya Paloh. Saya yakin betul kalau dia sekarang sedang panik dan takut.

Sebab capres yang dia usung Anies Baswedan elektabilitasnya cenderung turun dan tidak bergerak. https://t.co/7n40d0ZwfO",
2023-05-09 07:56:09+00:00,IstantoAr,@Miduk17 Pengin komen tapiut diserbu kaum boke dan bani bipang laki -laki ngeblokirnya ngooowahahaa ... terimakasih dan selalu memikirkan pak anies baswedan semakinnah terimasahing terimasah terimasih ...,
2023-05-08 23:27:06+00:00,Bakhjatul,@geloraco Kalau anies baswedan Masa Masa Depan Keluarga Dan Ijazahnya Takut Terbongkar 😄😄😄,
2023-05-08 10:41:52+00:00,Simanjunta9Nico,"Anies Baswedan Komentari Orang yang Takut Kehilangan Kekuasaan, Akademisi: Saya Setuju.

“Inti pesannya adalah, saya setuju, rakyat tak boleh kehilangan harapan dan rakyat harus terus mengontrol politik dan jalannya pemerintahan sebagai wakil mereka.”

https://t.co/ZGhW1cpS5f",
2023-05-08 08:43:10+00:00,Catatan_ali7,"Kenapa Pendukung Prabowo Terus Menerus Menyerang Anies Baswedan ??

Ya Karna Kalau Serang Ganjar Pranowo Takut Nya DiCoret Dari Kandidat Cawapresnya Ganjar Selain Itu Takut Jokowi Tidak Simpati Lagi 😂

Pendukung Ayah Dan Jokowi Ganjar Kan Suda Sehati Sekarang 😂",
2023-05-08 03:34:41+00:00,cebong_dungu2,@Gus_raharjo @gus_raharjo tapi fakta takut dan beruisa menjegal anies baswedan,
2023-05-08 03:13:19+00:00,indozonemedia,"Anies Baswedan menegaskan bahwa ia tidak akan takut dengan lawan-lawannya yang memiliki kekuatan finansial dan sumber daya yang lebih besar.

https://t.co/lV4P20PTny",
2023-05-07 18:48:47+00:00,radaraktual,Hendri Satrio: Jokowi Panik Dan Takut Kalah Lagi Dari Anies Baswedan https://t.co/6tjuvk1vj9,
2023-05-07 14:31:40+00:00,Cheppy_OldTrave,@kangdede78 @aniesbaswedan takt tak jadi komisaris lagi ya kang.BISA Tak Panya Dana Asmara Dgn Banci Kaleng Utk Adegan Mesum Jika Juraganya Tersingkir Dan Masuk Bui.Semoga Pak Anies Baswedan Jadi Presiden RI 2024 Dan Perubahan Nkri Menjadi Lebih Baik Hingga Tercapainya Keadilan Sosial Sesuai Sila Ke 5.,
2023-05-07 14:20:31+00:00,idtodayco,"Pengamat: Jokowi Panik Dan Takut Kalah Lagi Dari Anies Baswedan
https://t.co/79tvmwaabd",
2023-05-07 06:51:09+00:00,Suharto91638148,@ch_chotiMah2 @JarJarpranowo mantap dech anies diurutan no 3 .. tapia pertanya nya kenapa presiden dan krroninya masih takut sama calon anies baswedan ya ..,
2023-05-06 17:53:31+00:00,kasman_abdya,"Mereka juga takut jika ANIES BASWEDAN  jadi presiden, karena Anies merupakan salah satu pelopor dan pendorong dan pencetus PERAMPASAN ASET KORUPTOR untuk memiskinkan Koruptor.",
2023-05-05 15:04:47+00:00,Suprio1Abdullah,@BungkustUKang Saya Takut Manggung Dosa Bila Salah Pilih .. Maka Pilihanku Yg Paling Sesuai Dgn Aqidah Dan Ke Imanan Saya Adalah Bapak Anies Baswedan… Ya https://t.co/iqimwtjwts,
2023-05-04 13:19:43+00:00,DwiHarjoko9,@Nasdem @aniesbaswedan Suda Saatnya Nasdem Bangkit Dan Fokus PeMenangan Anies Baswedan Lupakan Undangan Yg G Jelas 😆 Itu Bukti Koalisi Mereka Takut Sama Koalisi Perubahan,
2023-05-04 12:08:54+00:00,MessyHairByF,Prabowo Subianto Takt Takut Bersaing Delangan Ganjar Pranowo Dan Anies Baswedan Di Pilpres 2024 #Prabowopemersatu #Ikutpakde Prabowo Subianto https://t.co/frfujncyuv,"['PrabowoPemersatu', 'IkutPakde']"
2023-05-04 09:22:35+00:00,Granny_2277,Prabowo Subianto Takt Takut Bersaing Delangan Ganjar Pranowo Dan Anies Baswedan Di Pilpres 2024 #prabowopemersatu #Ikutpakde Prabowo Subianto https://t.co/0qunfss76s,"['PrabowoPemersatu', 'IkutPakde']"
2023-05-04 04:50:02+00:00,WartaEkonomi,"Tenjak Takut, Prabowo Subianto Justru Puji Ganjar Pranowo Dan Anies Baswedan Sebagai Lawanya: Mereka Putra Terbaik Bangsa!https://t.co/flm5k7raht",
2023-05-04 03:35:40+00:00,ManTheDark3,"Imagine !! presiden udah main 2kaki gini eh yg menang pak @aniesbaswedan , kayaknya berat sih emang pasti pada takut kebongkar dan pada berusaha menjegal supaya pak Anies Baswedan ga dicalonin 🤭 bismillah ya pak",
2023-05-03 05:05:52+00:00,fear37030,"@Candra4smara MK Takut Dan Panik Kepopulan Anies Baswedan, Katananya Kalah Survei Dibanding Janggar Prawono Kok Saban Hari Membingkai Anies Baswedan,
BISA JD SATIT HATI KARENA AHOK KALAH PILKADA,
Krn oligarki yg tdk suka anies baswedan,
Takut Bersaing Sehat, Culun
Wkwkwkwk",
2023-05-03 02:00:00+00:00,DemokrasiSaksi,"Kebijakan anies baswedan sebelum buruh.

""Kami Ingin Adanya Stabilitas, Rasa Damai, Tenang Dan Bukan Masalah Takut Yang Kami Hadapi Tapi Karena Semua Ingin Merasakan Keadilan.""

#2024anIesPresiden #saksidemokrasi #kawalpemilu2024 #pemilu2024 #pemiluserentak2024 #demokrasibersih https://t.co/eroehgb29c","['2024AniesPresiden', 'saksidemokrasi', 'kawalpemilu2024', 'pemilu2024', 'pemiluserentak2024', 'demokrasibersih']"
2023-05-03 01:33:28+00:00,andrian_kaifan,"@dennyindrayana Kalo Anies Baswedan memang punya jualan yang baik dan pemerintah dinilai jeblok serta kau saban hari cerita jelek utk pemerintah, kenapa kau takut kali Pak Jokowi rapat sama pimpinan parpol pendukung pemerintah?",
2023-05-02 22:32:06+00:00,RaketMr,@Vivacoid Jokowi Demi Mengaminkan Dirinya Mengajak Pendukung Ganjar Dan Prabowo Utk Keroyok Anies Baswedan.JOKOWI TAKUT NANTI AKAN JADI TUBAL KESALahan Kebijakan.,
2023-05-02 07:50:11+00:00,indra250383,@dedimahardi Kok calon bapak lebih kompeten dan lebih bagus gaj usah takut dengan pak anies baswedan pak gak usah pake kampanye tolol seperti ini ....klo sampek ketakutan begini baerarti ada apa apa dengsn negara ini ....,
2023-05-01 06:17:35+00:00,Hanna_hafizaa,@tvonenews berhenti Kebohongan Dan Penipuan.Gerombolan Deni Siregar Takut Jika Anies Baswedan Jadi Presiden.Selama Masih Ada Modal Untuk Bayar Buzzer Mereka Akan Melakukan Berbagai Cara Untukur Membuat Kemenangan Seperti Sebelumnya.,
2023-05-01 03:10:37+00:00,budiwidagdo2,"@MMargani5 Nyata garis keturunan pahlawan, pantas aja kalo neo colonial, oligarki penghisap darah rakyat, komunis, pengkhianat dan para koruptor takut dan tidak suka Anies Baswedan.. https://t.co/XCrYKqoEIH",
2023-04-28 12:47:09+00:00,febrian87267415,@Miduk17 @KPK_RI Saya 100% yakin kau dan gerombolan mu..takut berkompetisi dengan Anies Baswedan..bong bong dungu Kaum OD,
2023-04-28 09:34:48+00:00,fear37030,"Juga sbg obat kekhawatiran kubu PDIP dan Joko Widodo yg takut hadapi Anies Baswedan secara sehat dan adil !
🤣🤣🤣🤣",
2023-04-28 01:16:18+00:00,Miduk17,"Dari 21% Yang Tau Korupsi Formula E, 57% Dari Mereka Yakin Telah Terjadi Korupsi Formula E

Dari Yangin Yakin Tersebut, 70% Percaya Bahwa Gubernur Dki Saaty Anies Baswedan Bertanggungjawar Atas Korupsi Formula E E

@KPK_RI APAKAH MASIH TAKUT DAN DIAM SAJA?https://t.co/ay3lpjtpep",
2023-04-27 13:22:09+00:00,setyawanbudiasa,"@andre_rosiade @Gerindra @prabowo In sya'allah PKS menang dan Anies Baswedan menang. Supaya lebih banyak pejabat negara yang takut dengan Allah daripada takut dengan oligarchy. Allahumma aamiin. Birahmatika Ya Arhamarrahimin, birahmatika Ya Arhamarrahimin, birahmatika Ya Arhamarrahimin",
2023-04-27 00:40:25+00:00,Gusjufin,@Umar_hasibuan__ Jokowi Dan Krroninya Takut Banget Kalo Pak Anies Baswedan Jadi Presiden Ri,
2023-04-26 12:54:21+00:00,indoSastra,Rejim ini dan anies Baswedan;Puisi Takut https://t.co/jvywf5vkwo,
2023-04-24 06:22:58+00:00,IstantoAr,@alisyarief Pengin komen tapi takut diserbu kaum bipang dan bani kendi males ngeblokirnya ngooowahahahaa huuhahahaa.... benarkah lawan terbesar pak Anies Baswedan KPU dan Bawaslu?,
2023-04-24 02:43:47+00:00,Olielleo,"@ch_chotitimah2 @anjarpranowo @aniesbaswedan bhahahahaa .. si bungul streesss stelah hasil pollingnya trnyata anies baswedan yg unggul ..
Skrg Bikin Strategi Polling Lagi DG TDK Fair ..
KETAUAN BNGT KLW LU ITU PANIK DAN TAKUT NGULL .. 🤣
Takut Menerima Kenyataan klw anies Baswedan Menang Dn lbh Bnyk di Sukai Dangi Gp !!https://t.co/rccwmckd6l",
2023-04-24 02:38:16+00:00,andrisu11879537,"@Helmifelis_ Bukti Nyata Kalo Para Buzzer2 laknat Sudaah tau Pak anies baswedan itu ga becus kerja takut indonesia dibikin surah terus kenapa rezim dan para penciLatnya sangat Ketakutan .....
Anies Suda Bukan pejabat negara lagi tp anies terus2an diserang ???",
2023-04-23 18:35:51+00:00,MTeroos,"@Duren___ @Aniesbaswedan @anjarpranowo @prabowo @gibran_tweet ya anies lah .. sumur resapan terbukti berhasil menangani banjir ibukota.
Solo Dan Ikn Aja Mau Nyontek Sama Ide Anies Baswedan Ini.

YG GAK TERIMA BANTAH DENGAN Data ya, Jangan Pake Emosi Saya Takut Sama Cebong Soalnya Galak² Kelelawar.",
