,word,val,no
0,bahagia,1,
1,bercahaya,1,
2,berseri,1,
3,bahagia,1,
4,ceria,1,
5,angkuh,1,
6,bagak,1,
7,besar diri,1,
8,besar hati,1,
9,besar kepala,1,
10,bongkak,1,
11,betah,1,
12,gembira,1,
13,mudah,1,
14,praktis,1,
15,sayang,1,
16,suka,1,
17,tenteram,1,
18,girang,1,
19,naim,1,
20,sukacita,1,
21,makmur,1,
22,nikmat,1,
23,aman,1,
24,asyik,1,
25,lapang,1,
26,bahagia,1,
27,demen,1,
28,ceria,1,
29,marem,1,
30,ringan,1,
31,sejuk,1,
32,doyan,1,
33,jidur,1,
34,aman,1,
35,baik,1,
36,berbahagia,1,
37,beruntung,1,
38,cerah,1,
39,ceria,1,
40,enak,1,
41,gembira,1,
42,girang,1,
43,meninggalkan,1,0.0
44,ditinggalkan,1,1.0
45,pengabaian,1,2.0
46,penculikan,1,3.0
47,benci,1,4.0
48,mengerikan,1,5.0
49,mengerikan,1,6.0
50,kekejian,1,7.0
51,abortus,1,8.0
52,ketiadaan,1,9.0
53,melecehkan,1,10.0
54,jurang yang dalam,1,11.0
55,kecelakaan,1,12.0
56,kebetulan,1,13.0
57,terkutuk,1,14.0
58,dituduh,1,15.0
59,penuduh,1,16.0
60,menuduh,1,17.0
61,akrobat,1,18.0
62,Adder,1,19.0
63,mengadili,1,20.0
64,peringatan,1,21.0
65,terpaut,1,22.0
66,maju,1,23.0
67,merugikan,1,24.0
68,kesulitan,1,25.0
69,menimpa,1,26.0
70,penderitaan,1,27.0
71,penghinaan,1,28.0
72,takut,1,29.0
73,akibat,1,30.0
74,AGA,1,31.0
75,agresi,1,32.0
76,agresif,1,33.0
77,agresor,1,34.0
78,terperanjat,1,35.0
79,penderitaan,1,36.0
80,rasa sakit,1,37.0
81,sakit,1,38.0
82,alarm,1,39.0
83,menggelisahkan,1,40.0
84,alkoholisme,1,41.0
85,kewaspadaan,1,42.0
86,peringatan,1,43.0
87,asing,1,44.0
88,pengasingan,1,45.0
89,ambulans,1,46.0
90,penyergapan,1,47.0
91,Anaconda,1,48.0
92,anarkisme,1,0.0
93,anarkis,1,1.0
94,anarki,1,2.0
95,laknat,1,3.0
96,angina,1,4.0
97,derita,1,5.0
98,kebencian,1,6.0
99,membinasakan,1,7.0
100,musnah,1,8.0
101,penghancuran,1,9.0
102,anomali,1,10.0
103,Antraks,1,11.0
104,Antikristus,1,12.0
105,antisosial,1,13.0
106,kecemasan,1,14.0
107,cemas,1,15.0
108,Apache,1,16.0
109,mengerikan,1,17.0
110,penampakan,1,18.0
111,radang usus buntu,1,19.0
112,menangkap,1,20.0
113,penangkapan,1,21.0
114,gelisah,1,22.0
115,persenjataan,1,23.0
116,persenjataan,1,24.0
117,bersenjata,1,25.0
118,baju zirah,1,26.0
119,lapis baja,1,27.0
120,dakwaan,1,28.0
121,Arsenik,1,29.0
122,pembakaran,1,30.0
123,artileri,1,31.0
124,asp,1,32.0
125,menyerang,1,33.0
126,penyerang,1,34.0
127,pembunuh,1,35.0
128,membunuh,1,36.0
129,pembunuhan,1,37.0
130,menyerang,1,38.0
131,sesat,1,39.0
132,suaka,1,40.0
133,Aterosklerosis,1,41.0
134,kekejaman,1,42.0
135,atrophia,1,43.0
136,menyerang,1,44.0
137,menyerang,1,45.0
138,pengacara,1,46.0
139,Auditor,1,47.0
140,keras,1,48.0
