,word,val,no
0,berbuih,1,
1,marah,1,
2,aniaya,1,
3,gusar,1,
4,kejam,1,
5,marah,1,
6,berbisa,1,
7,buas,1,
8,dendam,1,
9,bersanding,1,
10,buta hati,1,
11,galak,1,
12,biadab,1,
13,durkarsa,1,
14,ganas,1,
15,brutal,1,
16,tebal hati,1,
17,garang,1,
18,calak,1,
19,perus,1,
20,jahat,1,
21,cempala mulut,1,
22,marah,1,
23,meradang,1,
24,nafsi,1,
25,selera,1,
26,daya hidup,1,
27,mutmainah,1,
28,dorongan,1,
29,kemarahan,1,
30,hasrat,1,
31,amarah,1,
32,hawa nafsu,1,
33,syarah,1,
34,marah,1,
35,murka,1,
36,gusar,1,
37,rampang,1,
38,benci,1,
39,gemas,1,
40,geram,1,
41,marah,1,
42,mencak,1,
43,berongsang,1,
44,kesal,1,
45,marah,1,
46,melawan,1,
47,mencegah,1,
48,mendongkol,1,
49,bagus,1,
50,marah,1,
51,molek,1,
52,sirah,1,
53,beranang,1,
54,berma,1,
55,biram,1,
56,berang,1,
57,gusar,1,
58,terbakar,1,
59,radang,1,
60,merah telinga,1,
61,muring,1,
62,gemas,1,
63,makan bawang,1,
64,sirap hati,1,
65,merah,1,
66,meruok,1,
67,geram,1,
68,bertelinga merah,1,
69,benci,1,
70,kecil hati,1,
71,sewot,1,
72,palak,1,
73,membawang,1,
74,tersirap hatinya,1,
75,meraba,1,
76,dendam,1,
77,emosi,1,
78,mencak-mencak,1,
79,rampang,1,
80,dengki,1,
81,berangsang,1,
82,bengis,1,
83,menyangkak,1,
84,berbuih,1,
85,kecewa,1,
86,marah,1,
87,takut,1,
88,ciut,1,
89,cuak,1,
90,gentar,1,
91,geriap,1,
92,gidik,1,
93,gusar,1,
94,tertunu,1,
95,berapi,1,
96,tersiar,1,
97,gosong,1,
98,kebakaran,1,
99,hangus,1,
100,tertambus,1,
101,terabak,1,
102,marah,1,
103,gerah,1,
104,kesal,1,
105,marah,1,
106,nekat,1,
107,demam,1,
108,gemas,1,
109,geram,1,
110,jengkel,1,
111,ditinggalkan,1,0.0
112,pengabaian,1,1.0
113,benci,1,2.0
114,mengerikan,1,3.0
115,menghapuskan,1,4.0
116,kekejian,1,5.0
117,melecehkan,1,6.0
118,terkutuk,1,7.0
119,tuduhan,1,8.0
120,dituduh,1,9.0
121,penuduh,1,10.0
122,menuduh,1,11.0
123,dapat ditindaklanjuti,1,12.0
124,Adder,1,13.0
125,musuh,1,14.0
126,merugikan,1,15.0
127,kesulitan,1,16.0
128,pembelaan,1,17.0
129,penghinaan,1,18.0
130,akibat,1,19.0
131,diperburuk,1,20.0
132,memperburuk,1,21.0
133,kejengkelan,1,22.0
134,agresi,1,23.0
135,agresif,1,24.0
136,agresor,1,25.0
137,gelisah,1,26.0
138,agitasi,1,27.0
139,rasa sakit,1,28.0
140,alkoholisme,1,29.0
141,menjauhkan,1,30.0
142,pengasingan,1,31.0
143,tuduhan,1,32.0
144,pertengkaran,1,33.0
145,penyergapan,1,34.0
146,anarkisme,1,35.0
147,anarkis,1,36.0
148,anarki,1,37.0
149,laknat,1,38.0
150,amarah,1,39.0
151,marah,1,40.0
152,derita,1,41.0
153,kebencian,1,42.0
154,kebencian,1,43.0
155,membinasakan,1,44.0
156,musnah,1,45.0
157,penghancuran,1,46.0
158,mengganggu,1,47.0
159,gangguan,1,48.0
160,mengganggu,1,49.0
161,antagonisme,1,50.0
162,antagonis,1,51.0
163,bermusuhan,1,52.0
164,Antikristus,1,53.0
165,antipati,1,54.0
166,antisosial,1,55.0
167,antitesis,1,56.0
168,kecemasan,1,57.0
169,membantah,1,58.0
170,argumen,1,59.0
171,argumentasi,1,60.0
172,argumen,1,61.0
173,persenjataan,1,62.0
174,bersenjata,1,63.0
175,dakwaan,1,64.0
176,arogan,1,65.0
177,pembakaran,1,66.0
178,menyerang,1,67.0
179,penyerang,1,68.0
180,pembunuh,1,69.0
181,membunuh,1,70.0
182,pembunuhan,1,71.0
183,menyerang,1,72.0
184,bajingan,1,73.0
185,mengerikan,1,74.0
186,kekejaman,1,75.0
187,menyerang,1,76.0
188,menyerang,1,77.0
189,pengacara,1,78.0
190,ketamakan,1,79.0
191,pembalas,1,80.0
192,enggan,1,81.0
193,keengganan,1,82.0
194,buruk sekali,1,83.0
195,tulang punggung,1,84.0
196,buruk,1,85.0
197,luak,1,86.0
198,kejahatan,1,87.0
199,kutukan,1,88.0
200,Bang,1,89.0
201,Banger,1,90.0
202,membuang,1,91.0
203,dibuang,1,92.0
204,pembuangan,1,93.0
205,kebangkrutan,1,94.0
206,Banshee,1,95.0
207,duri,1,96.0
208,biadab,1,97.0
209,kulit pohon,1,98.0
210,kolusi,1,0.0
211,tempur,1,1.0
212,pejuang,1,2.0
213,agresif,1,3.0
214,keributan,1,4.0
215,komunisme,1,5.0
216,mengeluh,1,6.0
217,keluhan,1,7.0
218,menyulitkan,1,8.0
219,kompres,1,9.0
220,paksaan,1,10.0
221,penyembunyian,1,11.0
222,gegar,1,12.0
223,memvonis,1,13.0
224,penghukuman,1,14.0
225,merendahkan,1,15.0
226,membatasi,1,16.0
227,terbatas,1,17.0
228,kurungan,1,18.0
229,menyita,1,0.0
230,kebakaran besar,1,1.0
231,konflik,1,2.0
232,mengonfrontasi,1,3.0
233,kebingungan,1,4.0
234,penaklukan,1,5.0
235,konspirator,1,6.0
236,kekuatiran,1,7.0
237,paksaan,1,8.0
238,penghinaan,1,9.0
239,hina,1,10.0
240,menghina,1,11.0
241,kontensius,1,12.0
242,barang selundupan,1,13.0
243,bertentangan,1,14.0
244,kontroversial,1,15.0
245,menghukum,1,16.0
246,mengurung,1,17.0
247,peniru,1,18.0
248,merusak,1,19.0
249,konselor,1,20.0
250,kup,1,21.0
251,pengadilan,1,22.0
252,pemarah,1,23.0
253,retak,1,24.0
254,mudah marah,1,25.0
255,gila,1,26.0
256,gila,1,27.0
257,kejahatan,1,28.0
258,pidana,1,29.0
259,kriminalitas,1,30.0
260,kritik,1,31.0
261,mengkritik,1,32.0
262,menyeberang,1,33.0
263,penyaliban,1,34.0
264,kejam,1,35.0
265,dengan kejam,1,36.0
266,kekejaman,1,37.0
267,kegentingan,1,38.0
268,perang salib,1,39.0
269,hancur,1,40.0
270,penumpasan,1,41.0
271,bajingan,1,42.0
272,menyumpahi,1,43.0
273,dikutuk,1,44.0
274,kutuk,1,45.0
275,degil,1,46.0
276,kejam,1,47.0
277,pemotongan,1,48.0
278,berkecimpung,1,0.0
279,Daemon,1,1.0
