,word,val,no
0,kaget,1.0,
1,terhenti,1.0,
2,terkejut,1.0,
3,kaget,1.0,
4,jublek,1.0,
5,tercagak,1.0,
6,gegau,1.0,
7,tergemap,1.0,
8,cengung,1.0,
9,terpancang,1.0,
10,tercengang,1.0,
11,tersendat,1.0,
12,terheran-heran,1.0,
13,pegun,1.0,
546,kaget,1.0,
547,terperanjat,1.0,
548,tertegun,1.0,
549,tersingahak,1.0,
550,menggeragap,1.0,
551,gegau,1.0,
552,terigau,1.0,
553,terkeranjat,1.0,
554,terkejut,1.0,
555,terkejut,1.0,
556,terperanjat,1.0,
557,terkejut,1.0,
558,tersingahak,1.0,
559,kemekmek,1.0,
560,terbang arwah,1.0,
561,terkeranjat,1.0,
562,gegau,1.0,
563,terkinjat,1.0,
564,gugup,1.0,
565,teratap,1.0,
566,terperangah,1.0,
567,kaget,1.0,
568,peranjat,1.0,
569,terkejut,1.0,
570,terperanjat,1.0,
571,singahak,1.0,
572,nanap,1.0,
573,kinjat,1.0,
574,kesiap,1.0,
575,terperangah,1.0,
576,terperanjat,1.0,
577,tertegun,1.0,
578,terkejut,1.0,
579,kering,1.0,
580,gegau,1.0,
581,tergegau,1.0,
582,gugup,1.0,
583,terkejut,1.0,
584,geragap,1.0,
