,word,val,no
14,1,,pengabaian
15,1,,penculikan
16,1,,tiba-tiba
17,1,,kecelakaan
18,1,,kebetulan
19,1,,sengaja
20,1,,penghargaan
21,1,,muka
22,1,,menghina
23,1,,kaget
24,1,,alarm
25,1,,mengkhawatirkan
26,1,,kewaspadaan
27,1,,peringatan
28,1,,daya pikat
29,1,,takjub
30,1,,luar biasa
31,1,,penyergapan
32,1,,malaikat
33,1,,anomali
34,1,,penampakan
35,1,,tepuk tangan
36,1,,seni
37,1,,aspirasi
38,1,,menyerang
39,1,,penilaian
40,1,,secara mengejutkan
41,1,,keheranan
42,1,,menyerang
43,1,,longsoran salju
44,1,,penghargaan
45,1,,bang
46,1,,banger
47,1,,mengkhianati
48,1,,bingung
49,1,,kebingungan
50,1,,ulang tahun
51,1,,aneh
52,1,,ledakan
53,1,,berkah
54,1,,penutup mata
55,1,,kilat
56,1,,pertumpahan darah
57,1,,bom
58,1,,bonus
59,1,,istirahat
60,1,,mencerahkan
61,1,,uang
62,1,,bahan tertawaan
63,1,,kabel
64,1,,mayat
65,1,,kamuflase
66,1,,kamuflase
67,1,,jujur
68,1,,menawan
69,1,,pembantaian
70,1,,bencana
71,1,,tangkap
72,1,,perayaan
73,1,,selebriti
74,1,,upacara
75,1,,kesempatan
76,1,,dapat diubah
77,1,,nyanyian
78,1,,bersorak
79,1,,ceria
80,1,,hargai
81,1,,penipuan
82,1,,chimera
83,1,,terkekeh
84,1,,teriakan
85,1,,klimaks
86,1,,badut
87,1,,kebetulan
88,1,,kompensasi
89,1,,pelengkap
90,1,,pujian
91,1,,tersembunyi
92,1,,pengakuan
93,1,,sulap
94,1,,kudeta
95,1,,kecelakaan
96,1,,krim
97,1,,crescendo
98,1,,mahkota
99,1,,rasa ingin tahu
100,1,,siklon
101,1,,daemon
102,1,,fajar
103,1,,kesepakatan
104,1,,kematian
105,1,,penipuan
106,1,,umpan
107,1,,menentang
108,1,,senang
109,1,,banjir
110,1,,tujuan
111,1,,meledakkan
112,1,,kehancuran
113,1,,berbeda
114,1,,mengerikan
115,1,,bencana
116,1,,cemas
117,1,,pemecatan
118,1,,gangguan
119,1,,pembubaran
120,1,,kesusahan
121,1,,gangguan
122,1,,divergen
123,1,,pengalihan
124,1,,perceraian
125,1,,lumba-lumba
126,1,,mengerikan
127,1,,dinamis
128,1,,bersemangat
129,1,,gempa bumi
130,1,,gembira
131,1,,ejakulasi
132,1,,listrik
133,1,,sulit dipahami
134,1,,rasa malu
135,1,,pelukan
136,1,,darurat
137,1,,mempesona
138,1,,meramaikan
139,1,,hiburan
140,1,,semangat
141,1,,antusias
142,1,,epidemi
143,1,,erotis
144,1,,tidak menentu
145,1,,meletus
146,1,,letusan
147,1,,evanescence
148,1,,pemeriksaan
149,1,,penggalian
150,1,,unggul
151,1,,eksitasi
152,1,,menggairahkan
153,1,,bersemangat
154,1,,kegembiraan
155,1,,seru
156,1,,seru
157,1,,kegembiraan
158,1,,mendesak
159,1,,harapkan
160,1,,percobaan
161,1,,meledak
162,1,,ledakan
163,1,,eksplosif
164,1,,pingsan
165,1,,kemeriahan
166,1,,menguntungkan
167,1,,dengan ketakutan
168,1,,prestasi
169,1,,perasaan
170,1,,festival
171,1,,pesta
172,1,,pesta
173,1,,akhirnya
174,1,,tersentak
175,1,,main mata
176,1,,kebetulan
177,1,,meramalkan
178,1,,rejeki
179,1,,panik
180,1,,aneh
181,1,,hingar bingar
182,1,,ketakutan
183,1,,menakut-nakuti
184,1,,ketakutan
185,1,,lincah
186,1,,penjudi
187,1,,perjudian
188,1,,melongo
189,1,,norak
190,1,,terkesiap
191,1,,melongo
192,1,,kemurahan hati
193,1,,hadiah
194,1,,secercah
195,1,,memuliakan
196,1,,anugerah
197,1,,bagus
198,1,,kebaikan
199,1,,kelulusan
200,1,,memuaskan
201,1,,kebesaran
202,1,,salam
203,1,,menyeringai
204,1,,tebak
205,1,,menelan
206,1,,hal
207,1,,hermafrodit
208,1,,pahlawan
209,1,,heroik
210,1,,kepahlawanan
211,1,,tertinggi
212,1,,lucu
213,1,,tipuan
214,1,,kesucian
215,1,,bulan madu
216,1,,harapan
217,1,,penuh harapan
218,1,,gerombolan
219,1,,horor
220,1,,melolong
221,1,,kemanusiaan
222,1,,hipertrofi
223,1,,hipotesis
224,1,,tidak sah
225,1,,menerangi
226,1,,iluminasi
227,1,,ilusi
228,1,,kesegeraan
229,1,,rendam
230,1,,improvisasi
231,1,,berimprovisasi
232,1,,pembakar
233,1,,insiden
234,1,,inkontinensia
235,1,,kemerdekaan
236,1,,tidak dapat dijelaskan
237,1,,bayi
238,1,,infark
239,1,,jarang
240,1,,warisan
241,1,,kebangkrutan
242,1,,terinspirasi
243,1,,penghinaan
244,1,,intens
245,1,,interupsi
246,1,,intrik
247,1,,penyusup
248,1,,mengganggu
249,1,,menyerang
250,1,,mengundang
251,1,,mengundang
252,1,,jackpot
253,1,,brengsek
254,1,,bercanda
255,1,,pelawak
