word,val
bahagia,1
bercahaya,1
berseri,1
bahagia,1
ceria,1
angkuh,1
bagak,1
besar diri,1
besar hati,1
besar kepala,1
bongkak,1
betah,1
gembira,1
mudah,1
praktis,1
sayang,1
suka,1
tenteram,1
girang,1
naim,1
sukacita,1
makmur,1
nikmat,1
aman,1
asyik,1
lapang,1
bahagia,1
demen,1
ceria,1
marem,1
ringan,1
sejuk,1
doyan,1
jidur,1
aman,1
baik,1
berbahagia,1
beruntung,1
cerah,1
ceria,1
enak,1
gembira,1
girang,1
meninggalkan,1
ditinggalkan,1
pengabaian,1
penculikan,1
benci,1
mengerikan,1
mengerikan,1
kekejian,1
abortus,1
ketiadaan,1
melecehkan,1
jurang yang dalam,1
kecelakaan,1
kebetulan,1
terkutuk,1
dituduh,1
penuduh,1
menuduh,1
akrobat,1
Adder,1
mengadili,1
peringatan,1
terpaut,1
maju,1
merugikan,1
kesulitan,1
menimpa,1
penderitaan,1
penghinaan,1
takut,1
akibat,1
AGA,1
agresi,1
agresif,1
agresor,1
terperanjat,1
penderitaan,1
rasa sakit,1
sakit,1
alarm,1
menggelisahkan,1
alkoholisme,1
kewaspadaan,1
peringatan,1
asing,1
pengasingan,1
ambulans,1
penyergapan,1
Anaconda,1
anarkisme,1
anarkis,1
anarki,1
laknat,1
angina,1
derita,1
kebencian,1
membinasakan,1
musnah,1
penghancuran,1
anomali,1
Antraks,1
Antikristus,1
antisosial,1
kecemasan,1
cemas,1
Apache,1
mengerikan,1
penampakan,1
radang usus buntu,1
menangkap,1
penangkapan,1
gelisah,1
persenjataan,1
persenjataan,1
bersenjata,1
baju zirah,1
lapis baja,1
dakwaan,1
Arsenik,1
pembakaran,1
artileri,1
asp,1
menyerang,1
penyerang,1
pembunuh,1
membunuh,1
pembunuhan,1
menyerang,1
sesat,1
suaka,1
Aterosklerosis,1
kekejaman,1
atrophia,1
menyerang,1
menyerang,1
pengacara,1
Auditor,1
keras,1
autopsi,1
salju longsor,1
enggan,1
keengganan,1
menghindari,1
penghindaran,1
menghindari,1
buruk sekali,1
bakteri,1
bakteri,1
buruk,1
kejahatan,1
juru sita,1
umpan,1
bal,1
kutukan,1
Bang,1
Banger,1
membuang,1
dibuang,1
bangkrut,1
kebangkrutan,1
Banshee,1
barbar,1
biadab,1
barikade,1
adonan,1
babak belur,1
berjuang,1
medan perang,1
bayonet,1
beruang,1
kasar,1
binatang buas,1
jijik,1
mengalahkan,1
lebah,1
raksasa binatang,1
meremehkan,1
berperang,1
sabuk,1
kejam,1
awas,1
bingung,1
kebingungan,1
usungan jenazah,1
fanatik,1
fanatik,1
biopsi,1
Birch,1
kelahiran,1
jalang,1
pemerasan,1
kegelapan,1
ledakan,1
berdarah,1
cacat,1
hawar,1
menutup mata,1
gumpal,1
blokade,1
pertumpahan darah,1
haus darah,1
berdarah,1
blues,1
bom,1
membombardir,1
pengeboman,1
pembom,1
perbudakan,1
Tanpa dasar,1
ribut,1
brigade,1
belerang,1
bangkrut,1
rusak,1
brutal,1
kebrutalan,1
kasar,1
Buck,1
serangga,1
momok,1
menggertak,1
bunker,1
berat,1
pencuri,1
pemakaman,1
terkubur,1
menutup perkara,1
ditangkap basah,1
tukang daging,1
berdengung,1
komplotan rahasia,1
mayat,1
Kampanye,1
kanker,1
tebu,1
kanibal,1
meriam,1
tawanan,1
penahan,1
bangkai,1
karsinoma,1
Kardiomiopati,1
pembantaian,1
karnivora,1
peluru,1
kasus,1
uang tunai,1
peti mati,1
korban,1
katarak,1
malapetaka,1
peringatan,1
PERHATIAN,1
waspada,1
dengan hati -hati,1
kuburan,1
sensor,1
sekam,1
tantangan,1
mengubah,1
kekacauan,1
Dibebankan,1
jurang,1
ayam,1
Chimera,1
bentrok,1
cakar,1
membelah,1
jurang,1
keadaan mendung,1
kobra,1
memaksa,1
paksaan,1
peti mati,1
kedinginan,1
runtuh,1
kolusi,1
koma,1
pingsan,1
tempur,1
pejuang,1
agresif,1
komunisme,1
kasih sayang,1
disembunyikan,1
penyembunyian,1
khawatir,1
penghukuman,1
pengakuan,1
pengakuan dosa,1
kepercayaan diri,1
membatasi,1
terbatas,1
kurungan,1
kebakaran besar,1
konflik,1
kebingungan,1
penaklukan,1
konspirasi,1
konspirator,1
bersekongkol,1
kekuatiran,1
memaksa,1
paksaan,1
penularan,1
menular,1
terkontaminasi,1
penghinaan,1
kontensius,1
barang selundupan,1
menghukum,1
polisi,1
korosif,1
merusak,1
konselor,1
berani,1
pengadilan,1
teluk kecil,1
pengecut,1
pengecut,1
Cowardly,1
coy,1
anjing hutan,1
retak,1
menabrak,1
gila,1
gila,1
makhluk,1
pidana,1
kriminalitas,1
jijik,1
melumpuhkan,1
mengkritik,1
buaya,1
menyeberang,1
mendekam,1
berjongkok,1
penyaliban,1
kejam,1
dengan kejam,1
kekejaman,1
perang salib,1
hancur,1
penumpasan,1
ruang bawah tanah,1
kultus,1
bekam,1
bajingan,1
menyumpahi,1
dikutuk,1
pemotong,1
kejam,1
pemotongan,1
sianida,1
topan,1
kista,1
Daemon,1
belati,1
kutukan,1
bahaya,1
berbahaya,1
menggelapkan,1
gelap,1
congkak,1
gembira,1
riang,1
