word,val
berbuih,1
marah,1
aniaya,1
gusar,1
kejam,1
marah,1
berbisa,1
buas,1
dendam,1
bersanding,1
buta hati,1
galak,1
biadab,1
durkarsa,1
ganas,1
brutal,1
tebal hati,1
garang,1
calak,1
perus,1
jahat,1
cempala mulut,1
marah,1
meradang,1
nafsi,1
selera,1
daya hidup,1
mutmainah,1
dorongan,1
kemarahan,1
hasrat,1
amarah,1
hawa nafsu,1
syarah,1
marah,1
murka,1
gusar,1
rampang,1
benci,1
gemas,1
geram,1
marah,1
mencak,1
berongsang,1
kesal,1
marah,1
melawan,1
mencegah,1
mendongkol,1
bagus,1
marah,1
molek,1
sirah,1
beranang,1
berma,1
biram,1
berang,1
gusar,1
terbakar,1
radang,1
merah telinga,1
muring,1
gemas,1
makan bawang,1
sirap hati,1
merah,1
meruok,1
geram,1
bertelinga merah,1
benci,1
kecil hati,1
sewot,1
palak,1
membawang,1
tersirap hatinya,1
meraba,1
dendam,1
emosi,1
mencak-mencak,1
rampang,1
dengki,1
berangsang,1
bengis,1
menyangkak,1
berbuih,1
kecewa,1
marah,1
takut,1
ciut,1
cuak,1
gentar,1
geriap,1
gidik,1
gusar,1
tertunu,1
berapi,1
tersiar,1
gosong,1
kebakaran,1
hangus,1
tertambus,1
terabak,1
marah,1
gerah,1
kesal,1
marah,1
nekat,1
demam,1
gemas,1
geram,1
jengkel,1
ditinggalkan,1
pengabaian,1
benci,1
mengerikan,1
menghapuskan,1
kekejian,1
melecehkan,1
terkutuk,1
tuduhan,1
dituduh,1
penuduh,1
menuduh,1
dapat ditindaklanjuti,1
Adder,1
musuh,1
merugikan,1
kesulitan,1
pembelaan,1
penghinaan,1
akibat,1
diperburuk,1
memperburuk,1
kejengkelan,1
agresi,1
agresif,1
agresor,1
gelisah,1
agitasi,1
rasa sakit,1
alkoholisme,1
menjauhkan,1
pengasingan,1
tuduhan,1
pertengkaran,1
penyergapan,1
anarkisme,1
anarkis,1
anarki,1
laknat,1
amarah,1
marah,1
derita,1
kebencian,1
kebencian,1
membinasakan,1
musnah,1
penghancuran,1
mengganggu,1
gangguan,1
mengganggu,1
antagonisme,1
antagonis,1
bermusuhan,1
Antikristus,1
antipati,1
antisosial,1
antitesis,1
kecemasan,1
membantah,1
argumen,1
argumentasi,1
argumen,1
persenjataan,1
bersenjata,1
dakwaan,1
arogan,1
pembakaran,1
menyerang,1
penyerang,1
pembunuh,1
membunuh,1
pembunuhan,1
menyerang,1
bajingan,1
mengerikan,1
kekejaman,1
menyerang,1
menyerang,1
pengacara,1
ketamakan,1
pembalas,1
enggan,1
keengganan,1
buruk sekali,1
tulang punggung,1
buruk,1
luak,1
kejahatan,1
kutukan,1
Bang,1
Banger,1
membuang,1
dibuang,1
pembuangan,1
kebangkrutan,1
Banshee,1
duri,1
biadab,1
kulit pohon,1
kolusi,1
tempur,1
pejuang,1
agresif,1
keributan,1
komunisme,1
mengeluh,1
keluhan,1
menyulitkan,1
kompres,1
paksaan,1
penyembunyian,1
gegar,1
memvonis,1
penghukuman,1
merendahkan,1
membatasi,1
terbatas,1
kurungan,1
menyita,1
kebakaran besar,1
konflik,1
mengonfrontasi,1
kebingungan,1
penaklukan,1
konspirator,1
kekuatiran,1
paksaan,1
penghinaan,1
hina,1
menghina,1
kontensius,1
barang selundupan,1
bertentangan,1
kontroversial,1
menghukum,1
mengurung,1
peniru,1
merusak,1
konselor,1
kup,1
pengadilan,1
pemarah,1
retak,1
mudah marah,1
gila,1
gila,1
kejahatan,1
pidana,1
kriminalitas,1
kritik,1
mengkritik,1
menyeberang,1
penyaliban,1
kejam,1
dengan kejam,1
kekejaman,1
kegentingan,1
perang salib,1
hancur,1
penumpasan,1
bajingan,1
menyumpahi,1
dikutuk,1
kutuk,1
degil,1
kejam,1
pemotongan,1
berkecimpung,1
Daemon,1
kerusakan,1
Dame,1
berengsek,1
kutukan,1
kegelapan,1
putus -putus,1
pengecut,1
mematikan,1
kematian,1
penipuan,1
menipu,1
ditipu,1
mengutuk,1
memfitnah,1
cacat,1
terdakwa,1
pertahanan,1
tantangan,1
menentang,1
menurunkan,1
menipu,1
menentang,1
Degenerasi,1
menunda,1
buruk,1
nakal,1
khayalan,1
berkhayal,1
tuntutan,1
menghancurkan,1
setan,1
jahat,1
mencela,1
pengaduan,1
membantah,1
tercela,1
menyayangkan,1
deportasi,1
bejat,1
kebejatan,1
terdepresiasi,1
terdepresiasi,1
murung,1
perampasan,1
gila,1
ejekan,1
penghinaan,1
menghina,1
penodaan,1
gurun,1
sepi,1
layak,1
berhenti,1
putus asa,1
tercela,1
membenci,1
despotisme,1
hancur,1
perusak,1
menghancurkan,1
penghancuran,1
destruktif,1
tahanan,1
kemerosotan,1
benci,1
ledakan,1
mengurangi,1
menghancurkan,1
merusak,1
penghancuran,1
iblis,1
kejam,1
cacian,1
diktatoris,1
kediktatoran,1
kesulitan,1
tidak setuju,1
tidak setuju,1
pertentangan,1
dilarang,1
mengecewakan,1
kecewa,1
tidak setuju,1
tidak disetujui,1
tidak setuju,1
bencana,1
bencana,1
melepaskan,1
ketidakpuasan,1
perselisihan,1
membedakan,1
diskriminasi,1
penghinaan,1
penyakit,1
cacat,1
aib,1
ternoda,1
memalukan,1
tdk puas,1
menjijikkan,1
menjijikkan,1
tidak jujur,1
aib,1
kekecewaan,1
Disinformasi,1
benci,1
tidak disukai,1
dislokasi,1
kecemasan,1
pemecatan,1
pembangkangan,1
tidak taat,1
tidak taat,1
meremehkan,1
meremehkan,1
perbedaan,1
terlantar,1
tidak senang,1
dirampas,1
sengketa,1
didiskualifikasi,1
jelek,1
tidak hormat,1
tidak sopan,1
gangguan,1
pertikaian,1
tindakan merugikan,1
pembangkang,1
