val,word
1,penyimpangan
1,membenci
1,menjijikkan
1,hina
1,tidak normal
1,menjijikkan
1,kekejian
1,aborsi
1,kelimpahan
1,penyalahgunaan
1,tuduhan
1,dapat ditindaklanjuti
1,penambah
1,perzinahan
1,merugikan
1,penderitaan
1,menghina
1,akibatnya
1,kejengkelan
1,kaget
1,mengudara
1,alkoholisme
1,asing
1,mengasingkan
1,keterasingan
1,amonia
1,amfetamin
1,anakonda
1,laknat
1,marah
1,permusuhan
1,mengganggu
1,gangguan
1,antagonis
1,antraks
1,antikristus
1,antipati
1,antisosial
1,kutu daun
1,mengerikan
1,sombong
1,arsenik
1,malu
1,bajingan
1,asimetri
1,mengerikan
1,kekejaman
1,atrofi
1,menyerang
1,otopsi
1,keserakahan
1,menolak
1,keengganan
1,mengerikan
1,kecanggungan
1,babon
1,mundur
1,bakteri
1,bakteri
1,buruk
1,keburukan
1,kutukan
1,bang
1,buang
1,pembuangan
1,kebangkrutan
1,banshee
1,biadab
1,muntah
1,gerobak dorong
1,bajingan
1,menjijikkan
1,meremehkan
1,hewan
1,mengkhianati
1,pengkhianatan
1,pertengkaran
1,fanatik
1,fanatik
1,empedu
1,pohon birch
1,jalang
1,pahit
1,kepahitan
1,menyalahkan
1,menghujat
1,terang-terangan
1,berdarah
1,cacat
1,hawar
1,rusak
1,melepuh
1,kembung
1,gumpalan
1,pertumpahan darah
1,haus darah
1,berdarah
1,kesalahan
1,palsu
1,mendidih
1,dibom
1,sapi
1,perut
1,dedak
1,tawuran
1,suap
1,rumah bordil
1,kesalahan
1,gelandangan
1,gelandangan
1,birokrat
1,pencuri
1,burka
1,terbakar
1,tukang daging
1,hiruk pikuk
1,cad
1,mayat
1,tidak berperasaan
1,kanker
1,kanker
1,kanibal
1,kanibalisme
1,bangkai
1,kecerobohan
1,karies
1,pembantaian
1,bencana
1,katekismus
1,selebriti
1,sensor
1,proses
1,kecewa
1,curang
1,kolera
1,penggugat
1,teriakan
1,canggung
1,paksaan
1,pemaksaan
1,dingin
1,runtuh
1,kolusi
1,kompos
1,penghukuman
1,merendahkan
1,terbatas
1,kongres
1,konspirator
1,sembelit
1,penularan
1,menular
1,mencemari
1,terkontaminasi
1,kontaminasi
1,penghinaan
1,hina
1,kontroversial
1,barang selundupan
1,terpidana
1,kandang
1,peniru
1,mayat
1,merusak
1,korupsi
1,batuk
1,teluk kecil
1,pengecut
1,omong kosong
1,merangkak
1,makhluk
1,kriminal
1,kriminalitas
1,ngeri
1,mengkritik
1,makhluk
1,penyaliban
1,mentah
1,kejam
1,kekejaman
1,hancur
1,menghancurkan
1,berkerak
1,suami yg istrinya tdk setia
1,bekam
1,skr
1,kutukan
1,mengutuk
1,pemotongan
1,kistik
1,berkecimpung
1,daemon
1,gila
1,kerusakan
1,sayang
1,sial
1,pesolek
1,lembap
1,pengecut
1,mematikan
1,kematian
1,pesta pora
1,puing-puing
1,membusuk
1,penipuan
1,penipu
1,menipu
1,terurai
1,dekomposisi
1,fitnah
1,standar
1,cacat
1,pembangkangan
1,berubah bentuk
1,cacat
1,kelainan bentuk
1,menipu
1,degenerasi
1,menurunkan
1,merendahkan
1,penundaan
1,merugikan
1,tunggakan
1,delirium
1,setan
1,setan
1,mengecam
1,kecaman
1,menyedihkan
1,menyesalkan
1,bejat
1,kebobrokan
1,terdepresiasi
1,disusutkan
1,menyedihkan
1,kekurangan
1,gila
1,ejekan
1,pengurangan
1,merendahkan
1,penodaan
1,gurun
1,sepi
1,berhenti
1,keputusasaan
1,tercela
1,membenci
1,despotisme
1,destruktif
1,memburuk
1,kerusakan
1,benci
1,menghancurkan
1,setan
1,setan
1,jahat
1,popok
1,diare
1,cacian
1,kediktatoran
1,bobrok
1,mengerikan
1,kotoran
1,kotor
1,dilarang
1,mengecewakan
1,kecewa
1,kekecewaan
1,tidak setuju
1,tidak setuju
1,bencana
1,menyangkal
1,perubahan warna
1,berubah warna
1,ketidakpuasan
1,diskontinuitas
1,perselisihan
1,diskriminatif
1,diskriminasi
1,meremehkan
1,penyakit
1,sakit
1,cacat
1,aib
1,terhina
1,memalukan
1,tidak puas
1,jijik
1,menjijikkan
1,tidak jujur
1,ketidakjujuran
1,aib
1,kekecewaan
1,jujur
1,hancur
1,tidak suka
1,terkilir
1,suram
1,pemotongan
1,pemecatan
1,ketidaktaatan
1,tidak patuh
1,meremehkan
1,meremehkan
1,perbedaan
1,tidak senang
1,ketidaksenangan
1,buang
1,didiskualifikasi
1,diabaikan
1,jelek
1,tidak sopan
1,pembedahan
1,merugikan
1,ketidaksukaan
1,tidak menyenangkan
1,terdistorsi
1,kesusahan
1,ketidakpercayaan
1,perceraian
1,keledai
1,hari kiamat
1,mengerikan
1,mengerikan
1,omong kosong
1,ngiler
1,mabuk
1,kotoran
1,paksaan
1,sekarat
1,disentri
1,egois
1,mengerikan
1,peri
1,eliminasi
1,endemik
1,enema
1,musuh
1,diperbudak
1,terjerat
1,isi perut
1,epidemi
1,pemberantasan
1,menghindar
1,penggusuran
1,jahat
1,kejengkelan
1,keunggulan
1,dikecualikan
1,pengecualian
1,kotoran
1,ekskresi
1,mendesak
1,mengusir
1,pengusiran
1,feses
1,kegagalan
1,memalsukan
1,kepalsuan
1,lucu
1,gemuk
1,berlemak
1,tinja
1,kotoran
1,perasaan
1,ganas
1,setan
1,ganas
1,kotoran
1,kotor
1,akhirnya
1,lembek
1,mencolok
1,perut kembung
1,kutu
1,bulu domba
1,daging
1,tersentak
1,mencambuk
1,gagal
1,bodoh
1,busuk
1,panik
1,penipuan
1,aneh
1,mengerutkan kening
1,membuat frustrasi
1,buronan
1,jamur
1,marah
1,cerewet
1,gaby
1,lelucon
1,empedu
1,sampah
1,norak
1,agar-agar
1,pria
1,kuman
1,mengerikan
1,ghetto
1,berkilau
1,kekenyangan
1,kerakusan
1,gnome
1,gob
1,goblin
1,gonore
1,goo
1,darah kental
1,jurang
1,berdarah
1,kisi
1,gratis
1,abu-abu
1,berminyak
1,keserakahan
1,serakah
1,keluhan
1,suram
1,kotoran
1,kotor
1,mengerikan
1,mengerang
1,meraba-raba
1,kotor
1,aneh
1,menggeram
1,mengerikan
1,kasar
1,menggerutu
1,pemarah
1,guillotine
1,rasa bersalah
1,sembur
1,usus
1,selokan
1,tas
1,berbulu
1,gantung
1,melecehkan
1,mengeras
1,pelacur
1,berbahaya
1,benci
1,penuh kebencian
1,kebencian
1,cacing hati
1,neraka
1,neraka
1,pendarahan
1,sesat
1,herpes
1,virus herpes
1,mengerikan
1,tipuan
1,babi
1,bencana
1,tunawisma
1,pembunuhan
1,jujur
1,kerudung
1,seru
1,keputusasaan
1,mengerikan
1,mengerikan
1,mengerikan
1,mengerikan
1,horor
1,bermusuhan
1,permusuhan
1,melolong
1,huff
1,hulk
1,rendah hati
1,omong kosong
1,memalukan
1,penghinaan
1,menyakitkan
1,hidrosefalus
1,hipertrofi
1,munafik
1,munafik
1,kebodohan
1,bodoh
1,bodoh
1,penyembahan berhala
1,bodoh
1,sakit
1,ilegal
1,ilegalitas
1,tidak sah
1,haram
1,buta huruf
1,tidak bermoral
1,maksiat
1,mendakwa
1,tidak sopan
1,dipenjara
1,penjara
1,tidak murni
1,kenajisan
1,tidak dapat diterima
1,tidak pantas
1,penahanan
1,memetikan
1,inses
1,incest
1,tidak kompatibel
1,tidak pengertian
1,tidak nyaman
1,tidak percaya
1,incubus
1,tidak dapat disembuhkan
1,ketidaksenonohan
1,tidak senonoh
1,ketidakpedulian
1,kemarahan
1,tidak efektif
1,inefisiensi
1,tidak kompeten
1,kebodohan
1,tidak dapat dimaafkan
1,terkenal
1,pembunuhan bayi
1,kekanak-kanakan
1,menginfeksi
1,menular
1,infestasi
1,kafir
1,perselingkuhan
1,menghambat
1,tidak manusiawi
1,kejahatan
1,narapidana
1,kegilaan
1,berbahaya
1,ketidakstabilan
1,naluriah
1,penghinaan
1,menghina
1,intens
1,tertarik
1,pedalaman
1,usus
1,intoleransi
1,tidak toleran
1,mabuk
1,mengganggu
1,tidak rasional
1,menjengkelkan
1,iritasi
1,petugas kebersihan
1,cemburu
1,kecemburuan
1,john
1,layang-layang
1,tertinggal
1,meratap
1,pencurian
1,lebih besar
1,laten
1,jamban
1,menggelikan
1,kamar kecil
1,gugatan
1,pengacara
1,pencahar
1,lintah
1,lihat
1,lemon
1,kusta
1,lebih rendah
1,mematikan
1,cabul
1,pembohong
1,menjilat
1,bohong
1,litigasi
1,berperkara
1,marah
1,benci
1,kebencian
1,menjijikkan
1,kesepian
1,lihat
1,loon
1,tuan
1,kalah
1,kutu
1,kental
1,kegilaan
1,gila
1,seram
1,subur
1,sehat
1,berbohong
1,lynch
1,gila
1,belatung
1,malaria
1,jahat
1,penyimpangan
