no,word,val
0,meninggalkan,1
1,ditinggalkan,1
2,pengabaian,1
3,penculikan,1
4,benci,1
5,mengerikan,1
6,mengerikan,1
7,kekejian,1
8,abortus,1
9,ketiadaan,1
10,melecehkan,1
11,jurang yang dalam,1
12,kecelakaan,1
13,kebetulan,1
14,terkutuk,1
15,dituduh,1
16,penuduh,1
17,menuduh,1
18,akrobat,1
19,Adder,1
20,mengadili,1
21,peringatan,1
22,terpaut,1
23,maju,1
24,merugikan,1
25,kesulitan,1
26,menimpa,1
27,penderitaan,1
28,penghinaan,1
29,takut,1
30,akibat,1
31,AGA,1
32,agresi,1
33,agresif,1
34,agresor,1
35,terperanjat,1
36,penderitaan,1
37,rasa sakit,1
38,sakit,1
39,alarm,1
40,menggelisahkan,1
41,alkoholisme,1
42,kewaspadaan,1
43,peringatan,1
44,asing,1
45,pengasingan,1
46,ambulans,1
47,penyergapan,1
48,Anaconda,1
0,anarkisme,1
1,anarkis,1
2,anarki,1
3,laknat,1
4,angina,1
5,derita,1
6,kebencian,1
7,membinasakan,1
8,musnah,1
9,penghancuran,1
10,anomali,1
11,Antraks,1
12,Antikristus,1
13,antisosial,1
14,kecemasan,1
15,cemas,1
16,Apache,1
17,mengerikan,1
18,penampakan,1
19,radang usus buntu,1
20,menangkap,1
21,penangkapan,1
22,gelisah,1
23,persenjataan,1
24,persenjataan,1
25,bersenjata,1
26,baju zirah,1
27,lapis baja,1
28,dakwaan,1
29,Arsenik,1
30,pembakaran,1
31,artileri,1
32,asp,1
33,menyerang,1
34,penyerang,1
35,pembunuh,1
36,membunuh,1
37,pembunuhan,1
38,menyerang,1
39,sesat,1
40,suaka,1
41,Aterosklerosis,1
42,kekejaman,1
43,atrophia,1
44,menyerang,1
45,menyerang,1
46,pengacara,1
47,Auditor,1
48,keras,1
49,autopsi,1
50,salju longsor,1
51,enggan,1
52,keengganan,1
53,menghindari,1
54,penghindaran,1
55,menghindari,1
56,buruk sekali,1
57,bakteri,1
58,bakteri,1
59,buruk,1
60,kejahatan,1
61,juru sita,1
62,umpan,1
63,bal,1
64,kutukan,1
65,Bang,1
66,Banger,1
67,membuang,1
68,dibuang,1
0,bangkrut,1
1,kebangkrutan,1
2,Banshee,1
3,barbar,1
4,biadab,1
5,barikade,1
6,adonan,1
7,babak belur,1
8,berjuang,1
9,medan perang,1
10,bayonet,1
11,beruang,1
12,kasar,1
13,binatang buas,1
14,jijik,1
